date,kdj_k,kdj_d,kdj_j,ind
2018-02-07,23.758378795723292,42.80245156179866,-14.329766736427445,125
2018-02-08,19.191441430441614,34.93211485134631,-12.289905411367783,126
2018-02-09,17.06101690230755,28.975082201666723,-6.767113696410796,127
2018-02-12,17.184408821721867,25.044857741685103,1.4635109817953946,128
2018-02-13,19.22678123575447,23.105498906374894,11.469345894513616,129
2018-02-14,21.491171087367306,22.567389633372365,19.338733995357188,130
2018-02-22,27.41308066069771,24.18261997581415,33.87400203046482,131
2018-02-23,32.66182718164528,27.00902237775786,43.96743678942012,132
2018-02-26,38.7390812629967,30.919042006170805,54.37915977664848,133
2018-02-27,40.40640728779435,34.081497100045326,53.056227663292404,134
2018-02-28,39.44149901379986,35.86816440463017,46.58816823213924,135
2018-03-01,39.70993599972678,37.14875493632904,44.83229812652226,136
2018-03-02,38.666923961035266,37.654811277897785,40.69114932731023,137
2018-03-05,39.84021169574727,38.383278083847614,42.754078919546586,138
2018-03-06,44.039130137762484,40.26856210181924,51.58026620964898,139
2018-03-07,45.46751153010541,42.0015452445813,52.399444101153634,140
2018-03-08,48.0121151584611,44.0050685492079,56.02620837696752,141
2018-03-09,51.17995937070421,46.39669882304,60.74648046603264,142
2018-03-12,57.43511061762035,50.076169421233445,72.15299301039417,143
2018-03-13,61.02987528863039,53.72740471036576,75.63481644515966,144
2018-03-14,68.57801383987379,58.6776077535351,88.37882601255117,145
2018-03-15,73.57716933637214,63.644128281147445,93.4432514468215,146
2018-03-16,72.47531527722052,66.58785727983846,84.25023127198463,147
2018-03-19,70.16042625107131,67.77871360358274,74.92385154604844,148
2018-03-20,70.92362863815016,68.82701861510522,75.11684868424007,149
2018-03-21,63.534785414292315,67.06294088150091,56.47847447987513,150
2018-03-22,53.18729665983393,62.43772614094525,34.68643769761131,151
2018-03-23,41.686100552849595,55.52051761158003,14.01726643538872,152
2018-03-26,33.60158539180427,48.21420687165478,4.376342432103257,153
2018-03-27,32.739862856973275,43.05609220009428,12.107404170731272,154
2018-03-28,26.065774423967927,37.39265294138549,3.4120173891327994,155
2018-03-29,26.874474151908018,33.886593344893,12.850235765938052,156
2018-03-30,28.564502444533026,32.11256304477301,21.468381244053063,157
2018-04-02,28.904674208958795,31.043266766168273,24.62748909453984,158
2018-04-03,25.48076649818715,29.189100010174563,18.064099474212327,159
2018-04-04,22.439148074940277,26.939116031763135,13.439212161294563,160
2018-04-09,21.39866973661969,25.092300600048656,14.011408009761759,161
2018-04-10,27.85926771045115,26.01462297018282,31.548557190987808,162
2018-04-11,34.60837576208663,28.879207234150755,46.066712817958376,163
2018-04-12,36.345726003755445,31.368046824018986,46.30108436322836,164
2018-04-13,34.34496211698177,32.36035192167325,38.3141825075988,165
2018-04-16,25.768321171889838,30.163008338412112,16.97894683884529,166
2018-04-17,17.54794838591787,25.957988354247366,0.7278684492588781,167
2018-04-18,17.784918852039752,23.233631853511493,6.887492849096269,168
2018-04-19,21.119948102548477,22.52907060319049,18.30170310126445,169
2018-04-20,18.1136264447058,21.057255883695593,12.226367566726218,170
2018-04-23,16.982197416286056,19.698903061225746,11.548786126406675,171
2018-04-24,27.55849206169988,22.31876606138379,38.03794406233206,172
2018-04-25,32.57089218947975,25.736141437415775,46.2403936936077,173
2018-04-26,27.926032430154994,26.46610510166218,30.845887087140625,174
2018-04-27,26.168595514385956,26.366935239236774,25.77191606468432,175
2018-05-02,24.801680199710745,25.845183559394762,22.71467348034271,176
2018-05-03,27.55070909270604,26.41369207049852,29.824743137121075,177
2018-05-04,27.555102048115106,26.794162063037383,29.076982018270556,178
2018-05-07,36.041086891579,29.876470339217924,48.37031999630115,179
2018-05-08,46.32215003053525,35.35836356965703,68.24972295229168,180
2018-05-09,52.73911292814245,41.15194668915217,75.913445406123,181
2018-05-10,59.8553130937086,47.38640215733765,84.7931349664505,182
2018-05-11,64.68250143989167,53.15176858485566,87.74396714996368,183
2018-05-14,71.36338601997345,59.22230772989492,95.64554260013048,184
2018-05-15,80.75678748732011,66.40046764903664,109.46942716388705,185
2018-05-16,82.04705707250987,71.61599745686105,102.90917630380753,186
2018-05-17,79.53597957499693,74.25599149623967,90.09595573251144,187
2018-05-18,86.32342370961433,78.2784689006979,102.41333332744722,188
2018-05-21,89.75071361998846,82.10255047379476,105.04703991237585,189
2018-05-22,92.13338713906407,85.4461626955512,105.50783602608979,190
2018-05-23,84.78876185137004,85.22702908082414,83.91222739246183,191
2018-05-24,77.0836539489222,82.5125707035235,66.22582043971963,192
2018-05-25,69.32664802114066,78.11726314272921,51.745417777963524,193
2018-05-28,62.93448206414384,73.05633611653408,42.690773959363355,194
2018-05-29,55.05898266313184,67.05721829873333,31.062511391928865,195
2018-05-30,36.788044314677514,56.967493637381395,-3.570854330730242,196
2018-05-31,34.68350692180617,49.539498065522984,4.9715246343725426,197
2018-06-01,29.489127698346316,42.8560412764641,2.7553005421107457,198
2018-06-04,29.019382659365284,38.24382173743116,10.570504503233536,199
