date,kdj_k,kdj_d,kdj_j,ind
2017-10-18,70.76544066864369,75.22891540915339,61.8384911876243,46
2017-10-19,50.03410330290534,66.8306447070707,16.441020494574616,47
2017-10-20,40.9751164876512,58.21213530059754,6.501078861758515,48
2017-10-23,36.84055384891034,51.088274816701805,8.345111913327415,49
2017-10-24,29.32227399451164,43.83294120930508,0.3009395649247466,50
2017-10-25,29.548182663007772,39.07135502720598,10.501837934611359,51
2017-10-26,36.84164558486232,38.32811854642476,33.86869966173744,52
2017-10-27,29.95325391931996,35.53649700405649,18.786767749846888,53
2017-10-30,22.965090627861223,31.346028211991403,6.203215459600855,54
2017-10-31,19.804442441046035,27.498832955009615,4.415661413118876,55
2017-11-01,17.69734364983591,24.231669853285045,4.6286912429376414,56
2017-11-02,12.168599470261002,20.210646392277027,-3.915494373771047,57
2017-11-03,12.556844091285118,17.659378958613058,2.3517743566292424,58
2017-11-06,18.371229394190102,17.896662437138737,19.320363308292833,59
2017-11-07,25.210449225756392,20.334591366677955,34.962164943913265,60
2017-11-08,28.65881800235613,23.10933357857068,39.75778684992704,61
2017-11-09,28.365137927496683,24.861268361546017,35.37287705939802,62
2017-11-10,38.91009195166447,29.54420955825217,57.64185673848907,63
2017-11-13,47.459048642881825,35.51582258646206,71.34550075572135,64
2017-11-14,53.86158798414341,41.631077719022514,78.32260851438522,65
2017-11-15,52.332846095709115,45.19833384458472,66.60187059795793,66
2017-11-16,60.49242879810559,50.29636549575834,80.88455540280009,67
2017-11-17,53.37176412627331,51.321498372596665,57.4722956336266,68
2017-11-20,45.72610362041409,49.4563667885358,38.26557728417066,69
2017-11-21,41.11208840394758,46.67494066033973,29.986383891163285,70
2017-11-22,35.62061932243848,42.990166881039315,20.881524205236815,71
2017-11-23,24.134676447517116,36.70500340319858,-1.0059774638458094,72
2017-11-24,19.086038979992683,30.832015262129946,-4.405913584281841,73
2017-11-27,12.724025986661788,24.796018836973893,-11.41995971396242,74
2017-11-28,13.86988937831325,21.153975684087012,-0.698283233234271,75
2017-11-29,13.623697295979873,18.643882888051298,3.5833261118370245,76
2017-11-30,12.112767894289606,16.4668445567974,3.404614569274017,77
2017-12-01,12.452282973297443,15.128657362297416,7.0995341952974975,78
2017-12-04,9.311622992299313,13.189645905631382,1.5555771656351745,79
2017-12-05,7.962134626445169,11.447142145902644,0.9921195875302189,80
2017-12-06,9.905790900388737,10.933358397398008,7.850655906370196,81
2017-12-07,9.764780140489052,10.543832311761689,8.206675797943777,82
2017-12-08,14.26847411664786,11.785379580057079,19.234663189829426,83
2017-12-11,18.133005732937647,13.901254964350603,26.596507270111736,84
2017-12-12,17.073094164637563,14.95853469777959,21.302213098353505,85
2017-12-13,17.924118851191395,15.94706274891686,21.878231055740464,86
2017-12-14,16.757104875153253,16.21707679099566,17.83716104346844,87
2017-12-15,19.171403250102156,17.20185227736449,23.11050519557748,88
2017-12-18,19.447602166734786,17.950435573821256,22.44193535256185,89
2017-12-19,24.520623666712073,20.140498271451527,33.28087445723317,90
2017-12-20,19.572888896087598,19.951295146330217,18.81607639560236,91
2017-12-21,17.11363324779823,19.005407846819555,13.330084049755577,92
2017-12-22,12.08936094070901,16.70005887811604,2.86796506589495,93
2017-12-25,12.689203590102288,15.363107115444787,7.341396539417289,94
2017-12-26,16.32983943043856,15.685351220442712,17.61881585043026,95
